date,season,year,month,hour,holiday,week_day,working_day,weather_sit,temprature,feel_temprature,humidity,wind_speed,casual_user,registered_user,total_user
2011-01-01,springer,2011,Jan,0,no,sunday,no,clear,9.84,14.4,81.0,12.73,3,13,16
2011-01-01,springer,2011,Jan,1,no,sunday,no,clear,9.02,13.64,80.0,12.73,8,32,40
2011-01-01,springer,2011,Jan,2,no,sunday,no,clear,9.02,13.64,80.0,12.73,5,27,32
2011-01-01,springer,2011,Jan,3,no,sunday,no,clear,9.84,14.4,75.0,12.73,3,10,13
2011-01-01,springer,2011,Jan,4,no,sunday,no,clear,9.84,14.4,75.0,12.73,0,1,1
2011-01-01,springer,2011,Jan,5,no,sunday,no,mist,9.84,12.88,75.0,6.0,0,1,1
2011-01-01,springer,2011,Jan,6,no,sunday,no,clear,9.02,13.64,80.0,12.73,2,0,2
2011-01-01,springer,2011,Jan,7,no,sunday,no,clear,8.2,12.88,86.0,12.73,1,2,3
2011-01-01,springer,2011,Jan,8,no,sunday,no,clear,9.84,14.4,75.0,12.73,1,7,8
2011-01-01,springer,2011,Jan,9,no,sunday,no,clear,13.12,17.42,76.0,12.73,8,6,14
2011-01-01,springer,2011,Jan,10,no,sunday,no,clear,15.58,19.7,76.0,17.0,12,24,36
2011-01-01,springer,2011,Jan,11,no,sunday,no,clear,14.76,16.66,81.0,19.0,26,30,56
2011-01-01,springer,2011,Jan,12,no,sunday,no,clear,17.22,21.21,77.0,19.0,29,55,84
2011-01-01,springer,2011,Jan,13,no,sunday,no,mist,18.86,22.72,72.0,20.0,47,47,94
2011-01-01,springer,2011,Jan,14,no,sunday,no,mist,18.86,22.72,72.0,19.0,35,71,106
2011-01-01,springer,2011,Jan,15,no,sunday,no,mist,18.04,21.97,77.0,20.0,40,70,110
2011-01-01,springer,2011,Jan,16,no,sunday,no,mist,17.22,21.21,82.0,20.0,41,52,93
2011-01-01,springer,2011,Jan,17,no,sunday,no,mist,18.04,21.97,82.0,19.0,15,52,67
2011-01-01,springer,2011,Jan,18,no,sunday,no,light rain,17.22,21.21,88.0,17.0,9,26,35
2011-01-01,springer,2011,Jan,19,no,sunday,no,light rain,17.22,21.21,88.0,17.0,6,31,37
2011-01-01,springer,2011,Jan,20,no,sunday,no,mist,16.4,20.46,87.0,17.0,11,25,36
2011-01-01,springer,2011,Jan,21,no,sunday,no,mist,16.4,20.46,87.0,13.0,3,31,34
